site;title;company;date_posted;job_type;skills;level;job_group;workplace;city;state;country;city_state;experience;education;programming_languages;languages
linkedin;Risk Data Scientist;Prestamype;18/02/2026;fulltime;SQL,Excel,Power BI,Data Visualization;Mid-Level;Data Analyst;Hybrid;Lima;LIM;PE;Lima, Peru;4;Bachelor;Python, SQL;Spanish, English
linkedin;Senior Business Analyst;Encora Inc.;15/02/2026;fulltime;Python, SciKit, SQL, NumPy, Tableau, Power BI, Pandas, Machine Learning, Azure, Tensor Flow, AWS;Mid-Level;Business Intelligence;On Site;Lima;LIM;PE;Lima, Peru;0;Bachelor;Python, SQL;Spanish
linkedin;Programador Sistema conteo de Bayas;AGRICOLA SANTA AZUL;13/02/2026;fulltime;SQL, Python;Lead;Business Intelligence;On Site;Barranca;BAR;PE;Barranca, Lima, Peru;5;Bachelor;Python, SQL, C#;Spanish
linkedin;Analista de Servicio Viajes | JR;Softtek;12/02/2026;fulltime;Python, Spark, C#, SQL, , AWS;Mid-Level;Data Analyst;On Site;San Isidro;LIM;PE;San Isidro, Peru;5;Bachelor;Python, SQL;Spanish
linkedin;Senior Business Analyst;Encora Inc.;8/02/2026;fulltime;Python, SciKit, Artificial Intelligence, SQL, Tableau, , Pandas;Lead;Data Analyst;Hybrid;Lima;LIM;PE;Lima, Peru;0;Bachelor;Python, SQL;Spanish, English
linkedin;Semi Senior/Senior Ingeniero de Datos - Sector Bancario;Devsu;5/02/2026;fulltime;Python, SQL, Power BI, Azure, Databricks;Mid-Level;Data Analyst;Remote;Lima;LIM;PE;Lima, Peru;0;Master;SQL;English
linkedin;Data Analysis;Kyndryl;1/02/2026;fulltime;Spark, Airflow, SQL, Google Cloud, Azure, Databricks, AWS;Lead;Data Analyst;On Site;Lima;LIM;PE;Lima, Peru;5;Bachelor;SQL, DAX;Spanish
linkedin;Analista de Business Intelligence;Apuesta Total;2/02/2026;fulltime;SQL, DAX, AWS, Power BI;Senior;Data Analyst;On Site;Lima;LIM;PE;Lima, Peru;3;Master;Python, SQL;Spanish
linkedin;Analyst Alteryx - Perú;Prediqt - Data to AI;3/02/2026;fulltime;Python, Spark, Airflow, SQL, Docker, Azure, AWS;Junior;Data Analyst;Remote;Lima;LIM;PE;Lima, Peru;3;Bachelor;SQL;English
linkedin;Senior Accounting Analyst (Project);Flix;4/02/2026;fulltime;SQL, Oracle, Google Cloud, Azure, MongoDB, AWS;Mid-Level;Business Intelligence;Remote;Lima;LIM;PE;Lima, Peru;0;Bachelor;;English
indeed;Enterprise Account Executive (B2B SaaS);ScaleUp;12/03/2026;fulltime;Python,SQL,Azure,Data Pipelines;Mid-Level;Business Intelligence;On Site;Chiclayo;CHI;PE;Chiclayo, LAM, PE;0;Bachelor;Python, SQL;Spanish
indeed;Analista Avanzado de Datos_AAD;VIDA SOFTWARE SAC;10/03/2026;fulltime;Python, Spark, SQL, Azure, AWS;Mid-Level;Data Analyst;Remote;Santiago de Surco;LIM;PE;Santiago de Surco, LIM, PE;0;Bachelor;Python, SQL;English
indeed;Pricing & Business Intelligence Specialist;Etex;9/03/2026;fulltime;Python, Spark, SQL, Azure, Databricks, AWS;Mid-Level;Data Engineer;Hybrid;Lima;LIM;PE;Lima, LIM, PE;0;Bachelor;;Spanish, English
indeed;Senior Artificial Intelligence/Machine Learning Engineer - Remote, Latin America;Bluelight Consulting;8/03/2026;fulltime;SQL,Excel,Power BI,Data Visualization;Mid-Level;Business Intelligence;Remote;Iquitos;IQU;PE;Iquitos, LOR, PE;0;Bachelor;;English
indeed;Practicante Pre Profesional;Scotiabank;6/03/2026;fulltime;SQL,Excel,Power BI,Data Visualization;Mid-Level;Data Engineer;On Site;Lima;LIM;PE;Lima, LIM, PE;10;MBA;;Spanish
indeed;Asistente- Customer Experience- Productos Académicos;DMS PERÚ;5/03/2026;fulltime;SQL,Excel,Power BI,Data Visualization;Junior;Data Analyst;On Site;San Isidro;LIM;PE;San Isidro, LIM, PE;0;Bachelor;;Spanish
indeed;Analista de Inteligencia de Mercado;Capital Estratégico S.A.C.;2/03/2026;fulltime;Oracle, SAP, ERP;Senior;Business Intelligence;On Site;Lima;LIM;PE;Lima, LIM, PE;0;Bachelor;;Spanish
indeed;Digital Marketing Coordinator / Junior;Smart Capital Center;2/03/2026;fulltime;SQL,Excel,Power BI,Data Visualization;Senior;Data Analyst;Remote;Remote;LIM;PE;Remote, PE;5;Bachelor;;English
indeed;Asistente profesional de despacho;Antapaccay;1/03/2026;fulltime;SQL,Excel,Power BI,Tableau,Data Visualization;Mid-Level;Data Analyst;On Site;Yauri;CUS;PE;Yauri, CUS, PE;5;Master;;Spanish
indeed;Practicante de Business Intelligence;Abbott;27/02/2026;fulltime;PowerPoint, Chat GPT, Artificial Intelligence, Excel, Power BI;Mid-Level;Data Analyst;Remote;Lima;LIM;PE;Lima, LIM, PE;2;Bachelor;SQL, Java;English
indeed;Business Planning Trainee;PUMA;26/02/2026;fulltime;Office, SQL, Java;Mid-Level;Business Intelligence;Remote;Lima;LIM;PE;Lima, LIM, PE;0;Master;;English
indeed;SE BUSCA ANALISTA EXPERTO EN EXCEL Y POWER BI;CONSTRUCTORA-CCBH;24/02/2026;fulltime;ERP, CPA, Google Sheets;Mid-Level;Business Intelligence;Remote;San Martín de Porres;LIM;PE;San Martín de Porres, LIM, PE;3;Bachelor;SQL;English
indeed;Business Planning Trainee;PUMA;24/02/2026;fulltime;SQL, Power BI, Excel, Jira;Mid-Level;Business Intelligence;On Site;Lima;LIM;PE;Lima, LIM, PE;2;Bachelor;;Spanish
indeed;Analista de Inteligencia Comercial;INVERAGRO;24/02/2026;fulltime;SQL,Excel,Power BI,Tableau,Data Visualization,Jira;Mid-Level;Data Engineer;Remote;Carabayllo;CAR;PE;Carabayllo, LIM, PE;0;Bachelor;SQL;English
indeed;Ingeniero de Datos;S.A.C.I. Falabella;21/02/2026;fulltime;Azure, SQL, Agile, AWS;Mid-Level;Data Engineer;Remote;Lima;LIM;PE;Lima, LIM, PE;0;Bachelor;;English
indeed;Business Development Manager;Purple Paani;12/02/2026;fulltime;SQL,Excel,Power BI,Data Visualization;Senior;Data Analyst;Remote;Lima;LIM;PE;Lima, LIM, PE;3;Bachelor;;English
indeed;Senior Manager - Mining and Metals - Peru;dss+;11/02/2026;fulltime;Power BI,DAX,SQL,SSIS,Data Modeling;Mid-Level;Data Analyst;On Site;Lima;LIM;PE;Lima, LIM, PE;0;Bachelor;;Spanish
indeed;Supervisor/a de Business Intelligence;Entel;9/02/2026;fulltime;Power BI,DAX,SQL,SSIS,Data Modeling;Junior;Business Intelligence;Remote;Lima;LIM;PE;Lima, LIM, PE;0;MBA;;English
linkedin;Coordinador de Inteligencia de negocios;Grupo V&V Soluciones;12/03/2026;fulltime;SQL,Excel,Power BI,Data Visualization;Mid-Level;Data Analyst;Hybrid;San Isidro;LIM;PE;San Isidro, Peru;2;Bachelor;;Spanish, English
linkedin;Business Development Data Analyst - Remote Work;BairesDev;10/03/2026;fulltime;Looker, Google Cloud;Mid-Level;Data Analyst;Remote;Lima;LIM;PE;Lima, Peru;0;Bachelor;Python, SQL, DAX;English
linkedin;Analista de BI;Sodexo;6/03/2026;fulltime;Python, SQL, DAX, Excel, Power BI, Machine Learning, Azure, Power Query;Senior;Data Analyst;Remote;San Borja;LIM;PE;San Borja, Peru;0;Bachelor;SQL, R, JavaScript, CSS, DAX;English
linkedin;Analista de Datos (Remoto - Latam);Quid Solutions;5/03/2026;fulltime;CSS, JavaScript, Agile, React, SSIS, SQL, DAX, SSAS, Tableau, R, Power BI, Azure, SSRS, AWS;Mid-Level;Data Analyst;Remote;Lima;LIM;PE;Lima, Peru;0;Bachelor;SQL, R, JavaScript, CSS, DAX;English
linkedin;Growth data analyst;Auna;2/03/2026;fulltime;CSS, JavaScript, Agile, React, SSIS, SQL, DAX, SSAS, Tableau, R, Power BI, Azure, SSRS, AWS;Senior;Data Analyst;On Site;Lima;LIM;PE;Lima, Peru;0;Bachelor;Python, SQL;Spanish
linkedin;Analista de Experiencia del Cliente;Banco Falabella Perú;27/02/2026;fulltime;Python, SQL, Looker, Excel, Power BI;Mid-Level;Data Analyst;Remote;Lima;LIM;PE;Lima, Peru;0;Bachelor;SQL;English
linkedin;Asistente de control y gestión;Transvial Lima;27/02/2026;fulltime;SQL, ERP, Fabric, Power BI, , Azure;Mid-Level;Data Analyst;On Site;Lima;LIM;PE;Lima, Peru;0;Bachelor;;Spanish
linkedin;Analista de Operaciones Comerciales y BI/Villa el Salvador;Zapler;27/02/2026;fulltime;Excel,SQL,Power BI,Data Visualization;Senior;Business Intelligence;Remote;Lima;LIM;PE;Lima, Peru;2;MBA;;English
linkedin;Lead Business Intelligence Analyst;Encora Inc.;26/02/2026;fulltime;Agile, Excel, Power BI, , Master;Mid-Level;Data Analyst;Hybrid;Lima;LIM;PE;Lima, Peru;0;Bachelor;Python, SQL;Spanish, English
